ID_ESCOLA,ESCOLAS_POSTOS,BAIRRO,ENDERECO,LATITUDE,LONGITUDE
178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CAJU,RUA CARLOS SEIDL SEM NUMERO,-22.88089,-43.22533
634,ESCOLA MUNICIPAL ALICE DO AMARAL PEIXOTO,BENFICA,RUA EBANO 187,-22.88957,-43.23620
483,ESCOLA MUNICIPAL CELESTINO SILVA,CENTRO,RUA DO LAVRADIO 56,-22.90929,-43.18358
476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,SAO CRISTOVAO,PRACA ARGENTINA 20,-22.89763,-43.22746
132,ESCOLA MUNICIPAL PEREIRA PASSOS,RIO COMPRIDO,PRACA CONDESSA PAULO DE FRONTIN 45,-22.92441,-43.20858
017,ESCOLA MUNICIPAL PRESIDENTE JOSE LINHARES,IPANEMA,RUA BARAO DA TORRE 90,-22.98333,-43.19904
055,ESCOLA MUNICIPAL SANTA CATARINA,SANTA TERESA,RUA EDUARDO SANTOS 38,-22.91553,-43.19159
490,ESCOLA MUNICIPAL TIA CIATA,CENTRO,AVENIDA PRESIDENTE VARGAS SEM NUMERO,-22.90712,-43.19507
600,ESCOLA MUNICIPAL URUGUAI,BENFICA,RUA ANA NERI 192,-22.89849,-43.23776
089,ESCOLA MUNICIPAL MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO 148,-22.91723,-43.21104
387,CENTROS INTEGRADOS DE EDUCACAO PUBLICA PRESIDENTE AGOSTINHO NETO, HUMAITA,RUA VISCONDE DE SILVA SEM NUMERO,-22.95917,-43.19972
331,CENTROS INTEGRADOS DE EDUCACAO PUBLICA TANCREDO NEVES,CATETE,RUA DO CATETE 77,-22.92279,-43.17668
450,ESCOLA MUNICIPAL ALBERTO BARTH,FLAMENGO,AVENIDA OSWALDO CRUZ 124,-22.94071,-43.17647
558,ESCOLA MUNICIPAL CICERO PENA,COPACABANA,AVENIDA ATLANTICA 1976,-22.96865,-43.18114
413,ESCOLA MUNICIPAL COCIO BARCELOS,COPACABANA,RUA BARAO DE IPANEMA 34,-22.97483,-43.18906
413,ESCOLA MUNICIPAL COCIO BARCELOS,COPACABANA,RUA BARAO DE IPANEMA 34,-22.74828,-43.18906
540,ESCOLA MUNICIPAL HENRIQUE DODSWORTH,IPANEMA,AVENIDA EPITACIO PESSOA 474,-22.98195,-43.21358
309,ESCOLA MUNICIPAL MEXICO,BOTAFOGO,RUA DA MATRIZ 67,-22.95271,-43.19176
268,ESCOLA MUNICIPAL MINAS GERAIS,URCA,AVENIDA PASTEUR 433,-22.95382,-43.16889
523,ESCOLA MUNICIPAL PRESIDENTE DA COSTA E SILVA,BOTAFOGO,RUA ASSUNCAO 257,-22.94556,-43.18659
017,ESCOLA MUNICIPAL PRESIDENTE JOSE LINHARES,IPANEMA,RUA BARAO DA TORRE 90,-22.98333,-43.19904
035,ESCOLA MUNICIPAL SENADOR CORREA,LARANJEIRAS,RUA SENADOR CORREA,-22.93399,-43.18101
011,CENTROS INTEGRADOS DE EDUCACAO PUBLICA SAMUEL WEINER,TIJUCA,AVENIDA HEITOR BELTRAO SEM NUMERO,-22.92127,-43.22800
226,ESCOLA MUNICIPAL AFRANIO PEIXOTO,ANDARAI,RUA FERREIRA PONTES 328,-22.92685,-43.25491
638,ESCOLA MUNICIPAL AZEVEDO SODRE,PRACA DA BANDEIRA,RUA BARAO DE UBA 331,-22.91545,-43.21109
089,ESCOLA MUNICIPAL MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO 148,-22.91723,-43.21104
126,ESCOLA MUNICIPAL DUQUE DE CAXIAS,GRAJAU,RUA MARECHAL JOFRE 74,-22.91854,-43.26509
180,ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,BOULEVARD 28 DE SETEMBRO 353,-22.91615,-43.24705
163,ESCOLA MUNICIPAL LAUDIMIA TROTTA,TIJUCA,RUA ANTONIO BASILIO 370,-22.92684,-43.23789
361,ESCOLA MUNICIPAL PRUDENTE DE MORAES,TIJUCA,RUA ENES DE SOUSA 36,-22.92906,-43.23287
280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,MARACANA VILA ISABEL,RUA OITO DE DEZEMBRO 275,-22.90982,-43.23939
060,ESCOLA MUNICIPAL BARAO HOMEM DE MELO,MARACANA/ TIJUCA,RUA ALMIRANTE JOAO CANDIDO BRASIL 352,-22.91683,-43.23692
587,ESCOLA MUNICIPAL ALMIRANTE TAMANDARE,VIDIGAL,AVENIDA PRESIDENTE JOAO GOULART 296,-22.99370,-43.23558
653,ESCOLA MUNICIPAL LUCIA MIGUEL PEREIRA,SAO CONRADO,RUA MARTAGAO GESTEIRA SEM NUMERO,-22.99742,-43.27218
660,ESCOLA MUNICIPAL NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,RUA CIRNE MAIA 109,-22.89203,-43.27992
382,ESCOLA MUNICIPAL SANTOS ANJOS,LEBLON,RUA HUMBERTO DE CAMPOS SEM NUMERO,-22.98156,-43.21703
217,ESCOLA MUNICIPAL ALAGOAS,PILARES,AVENIDA DOM HELDER CAMARA 6742,-22.88134,-43.29409
