ID_ESCOLA,QUANTIDADE
178,002
634,121
483,022
476,019
132,067
410,397
055,092
490,578
600,591
089,473
387,456
331,223
450,042
558,573
413,000
698,366
540,516
309,319
268,308
523,111
017,048
035,525
011,445
226,164
638,293
271,152
126,399
180,185
163,576
361,063
280,491
060,000
587,336
653,159
660,342
382,262
217,044
378,365
429,000
025,183
367,297
373,044
624,109
157,035
020,255
117,457
502,493
351,489
135,456
647,064
440,053
259,158
422,123
041,468
537,234
230,024
683,218
146,151
566,564
388,504
498,061
663,426
121,167
161,509
263,292
118,021
140,153
260,397
236,041
090,067
274,561
676,018
390,257
608,026
589,317
256,345
091,000
285,032
248,513
441,338
623,416
603,352
673,393
182,425
520,136
412,395
031,115
514,534
023,342
415,152
016,430
570,466
528,051
414,026
690,094
202,121
550,128
211,052
526,524
492,000
466,279
636,161
527,179
586,194
080,599
398,315
175,435
308,004
512,294
576,148
495,128
379,109
641,269
689,571
171,235
477,187
206,392
687,000
568,362
399,071
255,591
262,221
633,573
616,372
320,479
144,099
534,157
342,296
052,330
139,316
323,106
573,207
560,308
246,459
069,468
319,537
584,342
311,162
316,579
497,517
297,000 
068,135
330,118
515,341
289,329
210,057
474,032
301,335
215,000
606,521
590,225
